어휘,뜻풀이
가가하다,잘되었거나 착하다고 여길 만하다
가각하다,인정이 없고 모질다
가감하다,어떤 일정한 일을 능히 해낼 수 있다
가강하다,더욱 강력하고 완강하다
가경하다,가히 놀랄 만하다
가고하다,참고할 만하다
가공스럽다,보기에 두려움을 주는 데가 있다
가공하다,두려워하거나 놀랄 만하다
가관스럽다,비웃는 뜻으로 꼴이 꽤 볼만하다경치 따위가 꽤 볼만하다
가괴하다,괴이하게 여길 만하다
가교하다,능히 가르칠 만하다
가급인족하다,집집마다 먹고사는 것에 부족함이 없이 넉넉하다
가급하다,몹시 모질고 혹독하다
가긍스럽다,불쌍하고 가여운 데가 있다
가긍하다,불쌍하고 가엾다
가기하다,기대하거나 기약할 만하다
가깝다,어느 한 곳에서 다른 곳까지의 거리가 짧다서로의 사이가 다정하고 친하다어떤 수치에 근접하다성질이나 특성이 기준이 되는 것과 비슷하다시간적으로 오래지 않다촌수가 멀지 않다
가깝디가깝다,매우 가깝다
가난하다,살림살이가 넉넉하지 못하여 몸과 마음이 괴로운 상태에 있다
가냘프다,몸이나 팔다리 따위가 몹시 가늘고 연약하다소리가 가늘고 약하다
가녀리다,물건이나 사람의 신체 부위 따위가 몹시 가늘고 연약하다소리가 몹시 가늘고 힘이 없다
가년스럽다,보기에 가난하고 어려운 데가 있다
가념하다,걱정이 되거나 마음에 걸려 잊히지 아니할 만하다
가녕스럽다, 가년스럽다
가느다랗다,아주 가늘다
가느닿다,가느다랗다의 준말
가느랗다, 가느다랗다
가느스름하다,조금 가늘다
가늘다,물체의 지름이 보통의 경우에 미치지 못하고 짧다소리의 울림이 보통에 미치지 못하고 약하다물체의 굵기가 보통에 미치지 못하고 잘다빛이나 연기 따위가 희미하고 약하다표정이 얼굴에 나타날 듯 말 듯 약하다사이가 좁고 촘촘하다움직이는 정도가 아주 약하다
가늘다랗다, 가느다랗다
가늘디가늘다,매우 가늘다
가늣하다,약간 가늘다
가능하다,할 수 있거나 될 수 있다
가닥가닥하다,물기나 풀기가 있는 물체의 거죽이 거의 말라서 빳빳하다
가당찮다,도무지 사리에 맞지 않다
가당하다,대체로 사리에 맞다정도나 수준 따위가 비슷하게 맞다
가득가득하다,분량이나 수효 따위가 어떤 범위나 한도에 여럿이 다 또는 매우 꽉 찬 상태에 있다여럿이 다 빈 데가 없을 만큼 사람이나 물건 따위가 매우 많다냄새나 빛 따위가 공간에 매우 널리 퍼져 있다감정이나 정서 생각 따위가 매우 많거나 강하다
